iteration,MSE_trg,MSE_val,MSE_tst,acc_trg,acc_val,acc_tst,elapsed
1720,0.176902729411,0.323565055767,0.335230953346,0.740666666667,0.534,0.528,245.773152953
1730,0.176863636973,0.323671784731,0.333441042164,0.742,0.536,0.53,247.176305228
1740,0.18102214022,0.327501181523,0.334414280614,0.737,0.528,0.528666666667,248.604604743
1750,0.177129684155,0.324173209025,0.33406039666,0.740333333333,0.534,0.528,250.013294197
1760,0.176757465084,0.324537720508,0.334324189326,0.741666666667,0.536,0.528666666667,251.465321492
1770,0.176758506767,0.324902347753,0.334751036519,0.740666666667,0.536,0.526666666667,252.835696308
1780,0.176741599532,0.324868300129,0.335147158671,0.741333333333,0.536,0.527333333333,254.201647231
1790,0.176670812151,0.324851545425,0.33683335123,0.740666666667,0.538,0.524,255.615237423
1800,0.176957617763,0.325124270587,0.336623214756,0.739666666667,0.534,0.524666666667,257.024361446
1810,0.176956813757,0.324979967563,0.33674201169,0.74,0.534,0.526,258.555330707
1820,0.176601298178,0.325113712105,0.336904318468,0.740333333333,0.534,0.524,259.99562863
1830,0.176661243165,0.32509491959,0.338045162653,0.741,0.534,0.524666666667,261.396030091
1840,0.17659128159,0.325062941534,0.338271178141,0.740333333333,0.534,0.524,262.813363489
1850,0.17690547731,0.325257440608,0.338153623001,0.742,0.534,0.525333333333,264.215676652
1860,0.176531835832,0.324962657412,0.33817413281,0.742666666667,0.534,0.524666666667,265.615569275
1870,0.176491161388,0.324892666725,0.336781117024,0.742333333333,0.532,0.526,267.161438673
1880,0.176463467057,0.324892085015,0.337459413121,0.742333333333,0.536,0.526666666667,268.691352327
1890,0.1764348985,0.326442064316,0.33772576053,0.742,0.534,0.524,270.19840694
1900,0.177044736385,0.32607774532,0.338013124779,0.741,0.536,0.521333333333,271.633247882
1910,0.176982365113,0.325995881942,0.337805268109,0.741,0.536,0.522666666667,273.06585554
1920,0.176342545994,0.325958184387,0.337723685216,0.740333333333,0.532,0.522,274.47296317
1930,0.176930217616,0.326228720607,0.336359318266,0.74,0.536,0.524666666667,275.829611975
1940,0.176297109506,0.326326281194,0.335650767813,0.741666666667,0.532,0.526,277.35181482
1950,0.176209367843,0.328301955026,0.335660930475,0.742666666667,0.53,0.524,278.755783292
1960,0.176902798268,0.328512739694,0.336534198609,0.742,0.53,0.522,280.19487786
1970,0.176186460835,0.328652001721,0.336508932087,0.741,0.528,0.524,281.561451004
1980,0.17612314602,0.328757479465,0.336697000826,0.741333333333,0.528,0.523333333333,282.980206624
1990,0.176133706093,0.328791480964,0.338040508258,0.740333333333,0.53,0.523333333333,284.384078304
2000,0.176122606298,0.328702435543,0.338532845387,0.739333333333,0.53,0.521333333333,285.842612657
